semanticSlug,usageContext,module,meaningRu,sourceKind,family,npmPackage,iconName,reactComponent,previewUrl,notes,localSvgFile
tree-branch-css,table-action,products/routes/planning,иерархия строк таблицы,opensource-package,lucide,lucide-react,git-branch,GitBranch,https://api.iconify.design/lucide:git-branch.svg,"CSS-generated icon/marker. При замене важно проверить layout, hit-area и псевдоэлементы.",
planning-transfer-link-css,operations-resources,planning,связь до/сейчас/после операции,opensource-package,lucide,lucide-react,arrow-right-left,ArrowRightLeft,https://api.iconify.design/lucide:arrow-right-left.svg,"CSS-generated icon/marker. При замене важно проверить layout, hit-area и псевдоэлементы.",
toggle-knob-css,form,gantt,включено/выключено,opensource-package,lucide,lucide-react,toggle-right,ToggleRight,https://api.iconify.design/lucide:toggle-right.svg,"CSS-generated icon/marker. При замене важно проверить layout, hit-area и псевдоэлементы.",
speki-section-tooltip-css,status,products,объяснение типа строки или секции,opensource-package,lucide,lucide-react,info,Info,https://api.iconify.design/lucide:info.svg,"CSS-generated icon/marker. При замене важно проверить layout, hit-area и псевдоэлементы.",
gantt-week-boundary-css,gantt,gantt,разделитель временной шкалы,opensource-package,lucide,lucide-react,between-horizontal-start,BetweenHorizontalStart,https://api.iconify.design/lucide:between-horizontal-start.svg,"CSS-generated icon/marker. При замене важно проверить layout, hit-area и псевдоэлементы.",
transfer-batch-indicator-css,gantt,gantt,передача количества между операциями,opensource-package,lucide,lucide-react,arrow-right-left,ArrowRightLeft,https://api.iconify.design/lucide:arrow-right-left.svg,"CSS-generated icon/marker. При замене важно проверить layout, hit-area и псевдоэлементы.",
initials-avatar,operations-resources,employees,сотрудник без отдельной иконки/фото,opensource-package,lucide,lucide-react,circle-user-round,CircleUserRound,https://api.iconify.design/lucide:circle-user-round.svg,"Это текстовый символ, а не SVG. Замена обычно не требуется.",
dash-empty-symbol,status,shared,нет данных / не задано,opensource-package,lucide,lucide-react,minus,Minus,https://api.iconify.design/lucide:minus.svg,"Это текстовый символ, а не SVG. Замена обычно не требуется.",
middle-dot-separator,other,shared,разделение кратких атрибутов,opensource-package,lucide,lucide-react,dot,Dot,https://api.iconify.design/lucide:dot.svg,"Это текстовый символ, а не SVG. Замена обычно не требуется.",
favicon,other,shared,служебный графический asset проекта,opensource-package,lucide,lucide-react,CUSTOM,Custom,,Файловый SVG asset. Не связан напрямую с helper icon(name).,
selected-row-color-options,other,shared,служебный графический asset проекта,opensource-package,lucide,lucide-react,swatch-book,SwatchBook,https://api.iconify.design/lucide:swatch-book.svg,Файловый SVG asset. Не связан напрямую с helper icon(name).,
figma-import-overview,other,shared,служебный графический asset проекта,opensource-package,lucide,lucide-react,figma,Figma,https://api.iconify.design/lucide:figma.svg,Файловый SVG asset. Не связан напрямую с helper icon(name).,
missing-departments,department-auth,shared,несогласованность между iconName/icon и словарем icon(),opensource-package,lucide,lucide-react,building-2,Building2,https://api.iconify.design/lucide:building-2.svg,"Нужно либо добавить соответствующую иконку в helper, либо заменить имя на существующее при будущей миграции. В этой задаче не исправлялось.",
missing-open,table-action,planning,несогласованность между iconName/icon и словарем icon(),opensource-package,lucide,lucide-react,external-link,ExternalLink,https://api.iconify.design/lucide:external-link.svg,"Нужно либо добавить соответствующую иконку в helper, либо заменить имя на существующее при будущей миграции. В этой задаче не исправлялось.",
missing-print,table-action,planning,несогласованность между iconName/icon и словарем icon(),opensource-package,lucide,lucide-react,printer,Printer,https://api.iconify.design/lucide:printer.svg,"Нужно либо добавить соответствующую иконку в helper, либо заменить имя на существующее при будущей миграции. В этой задаче не исправлялось.",
missing-users,other,shared,несогласованность между iconName/icon и словарем icon(),opensource-package,lucide,lucide-react,users,Users,https://api.iconify.design/lucide:users.svg,"Нужно либо добавить соответствующую иконку в helper, либо заменить имя на существующее при будущей миграции. В этой задаче не исправлялось.",
production-floor-plan,operations-resources,shopMap,кастомная карта производственного цеха,local-svg-fallback,local,,production-floor-plan,ProductionFloorPlanIcon,,Не заменять на stock icon. Использовать локальный SVG fallback.,local-fallback-svg/by-semantic/production-floor-plan.svg
